BpS,ACRES,PERCENT,RUNNING_PERCENT
Southern Appalachian Oak Forest,32197.75097,31.99,31.99
Southern and Central Appalachian Cove Forest,25323.10974,25.16,57.15
South-Central Interior Mesophytic Forest,22706.86753,22.56,79.71
Allegheny-Cumberland Dry Oak Forest and Woodland,11787.32445,11.71,91.42
Central Interior and Appalachian Riparian Systems,5665.70831,5.63,97.05
Appalachian (Hemlock-)Northern Hardwood Forest,2127.420519,2.11,99.16
Southern Appalachian Northern Hardwood Forest,356.7198985,0.35,99.52
Open Water,233.2912563,0.23,99.75
Central Interior and Appalachian Floodplain Systems,164.3491315,0.16,99.91
Central Interior and Appalachian Swamp Systems,45.36836731,0.05,99.96
Southern Appalachian Low-Elevation Pine Forest,45.14597198,0.04,100
