EVT,ACRES,PERCENT,RUNNING_PERCENT
Allegheny-Cumberland Dry Oak Forest and Woodland,32592.94532,32.38,32.38
Southern Appalachian Oak Forest,23975.4024,23.82,56.2
South-Central Interior Mesophytic Forest,14295.26097,14.2,70.4
Northern & Central Native Ruderal Forest,13472.40311,13.38,83.79
Southern and Central Appalachian Cove Forest,2696.749079,2.68,86.47
Recently Logged-Tree Cover,2658.719726,2.64,89.11
Recently Logged-Herb and Grass Cover,2209.706337,2.2,91.3
Northern & Central Ruderal Meadow,2134.537145,2.12,93.43
Developed-Roads,1518.0611,1.51,94.93
Southern Appalachian Low-Elevation Pine Forest,1053.257759,1.05,95.98
Recently Logged-Shrub Cover,799.0614679,0.79,96.77
Eastern Cool Temperate Urban Deciduous Forest,608.4698465,0.6,97.38
Northeastern North American Temperate Forest Plantation,410.5392379,0.41,97.79
South-Central Interior Small Stream and Riparian Forest,260.8681087,0.26,98.05
Northern & Central Ruderal Shrubland,245.3005263,0.24,98.29
Southern Appalachian Montane Pine Forest and Woodland,242.4094133,0.24,98.53
Open Water,233.5136502,0.23,98.76
Developed-Low Intensity,200.5993429,0.2,98.96
Southern Ridge and Valley / Cumberland Dry Calcareous Forest,186.8109201,0.19,99.15
Eastern Cool Temperate Urban Mixed Forest,181.6958618,0.18,99.33
Eastern Cool Temperate Urban Herbaceous,158.3444941,0.16,99.48
Eastern Cool Temperate Urban Shrubland,149.6711315,0.15,99.63
Southern Ridge and Valley Calcareous Glade and Woodland,103.4131891,0.1,99.74
Developed-Medium Intensity,92.29349375,0.09,99.83
Central and Southern Appalachian Montane Oak Forest,38.02936596,0.04,99.87
Eastern Warm Temperate Developed Ruderal Deciduous Forest,35.36063835,0.04,99.9
Eastern Cool Temperate Urban Evergreen Forest,18.90348592,0.02,99.92
Eastern Cool Temperate Row Crop,15.3451831,0.02,99.94
Eastern Warm Temperate Developed Ruderal Mixed Forested Wetland,14.45560756,0.01,99.95
Eastern Warm Temperate Developed Ruderal Mixed Forest,10.67490965,0.01,99.96
Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,9.785333782,0.01,99.97
Eastern Cool Temperate Pasture and Hayland,7.339000583,0.01,99.98
Developed-High Intensity,4.892667025,0,99.98
Recently Disturbed Other-Shrub Cover,4.447879136,0,99.99
Recently Disturbed Other-Herb and Grass Cover,4.447879136,0,99.99
Eastern Warm Temperate Developed Ruderal Grassland,3.335909277,0,99.99
Recently Disturbed Other-Tree Cover,2.668727487,0,100
South-Central Interior Small Stream and Riparian Shrubland,1.111969799,0,100
Eastern Warm Temperate Developed Ruderal Herbaceous Wetland,0.889575839,0,100
Eastern Warm Temperate Developed Ruderal Evergreen Forest,0.44478792,0,100
South-Central Interior Small Stream and Riparian Herbaceous,0.44478792,0,100
Eastern Warm Temperate Developed Ruderal Shrubland,0.22239396,0,100
Eastern Cool Temperate Close Grown Crop,0.22239396,0,100
